obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('0',)",3.49799990654,29,29,1026.36319895,29,29,4,3743853642.29,3743853642.79,3704122537.42,46.9853,-124.5660833,0.0,internal_timestamp,80.3170013428,29,29,1495133737.42,33.4127006531,29,29,0,8.23830032349,29,29,3704122537.42
"('1',)",3.49850988388,29,29,1026.37064339,29,29,4,3743853642.29,3743853642.79,3704122537.48,46.9853,-124.5660833,0.0,internal_timestamp,80.3209991455,29,29,1495133737.48,33.4215011597,29,29,0,8.23480033875,29,29,3704122537.48
"('2',)",3.50664997101,29,29,1026.4421469,29,29,4,3743853642.29,3743853642.79,3704122537.54,46.9853,-124.5660833,0.0,internal_timestamp,80.3170013428,29,29,1495133737.54,33.5119018555,29,29,0,8.23050022125,29,29,3704122537.54
"('3',)",3.49799990654,29,29,1026.36631246,29,29,4,3743853642.29,3743853642.79,3704122537.6,46.9853,-124.5660833,0.0,internal_timestamp,80.3170013428,29,29,1495133737.6,33.4160003662,29,29,0,8.23480033875,29,29,3704122537.6
"('4',)",3.49850010872,29,29,1026.37434678,29,29,4,3743853642.29,3743853642.79,3704122537.67,46.9853,-124.5660833,0.0,internal_timestamp,80.3209991455,29,29,1495133737.67,33.4253997803,29,29,0,8.23050022125,29,29,3704122537.67
"('5',)",3.49624991417,29,29,1026.41938775,29,29,4,3743853642.29,3743853642.79,3704122537.73,46.9853,-124.5660833,0.0,internal_timestamp,80.3300018311,29,29,1495133737.73,33.4692001343,29,29,0,8.15950012207,29,29,3704122537.73
"('6',)",3.51258993149,29,29,1026.58387929,29,29,4,3743853642.29,3743853642.79,3704122537.79,46.9853,-124.5660833,0.0,internal_timestamp,80.3310012817,29,29,1495133737.79,33.6730003357,29,29,0,8.12839984894,29,29,3704122537.79
"('7',)",3.50537991524,29,29,1026.44878445,29,29,4,3743853642.29,3743853642.79,3704122537.86,46.9853,-124.5660833,0.0,internal_timestamp,80.3170013428,29,29,1495133737.86,33.5167007446,29,29,0,8.21140003204,29,29,3704122537.86
"('8',)",3.50669002533,29,29,1026.47975759,29,29,4,3743853642.29,3743853642.79,3704122537.92,46.9853,-124.5660833,0.0,internal_timestamp,80.3249969482,29,29,1495133737.92,33.5518989563,29,29,0,8.18920040131,29,29,3704122537.92
"('9',)",3.50759005547,29,29,1026.51186236,29,29,4,3743853642.29,3743853642.79,3704122537.98,46.9853,-124.5660833,0.0,internal_timestamp,80.327003479,29,29,1495133737.98,33.587600708,29,29,0,8.16189956665,29,29,3704122537.98
"('10',)",3.50783991814,29,29,1026.53883456,29,29,4,3743853642.29,3743853642.79,3704122538.04,46.9853,-124.5660833,0.0,internal_timestamp,80.3300018311,29,13,1495133738.04,33.6166992188,29,29,0,8.13430023193,29,29,3704122538.04
"('11',)",3.509360075,29,29,1026.57187,29,29,4,3743853642.29,3743853642.79,3704122538.11,46.9853,-124.5660833,0.0,internal_timestamp,80.3310012817,29,13,1495133738.11,33.654499054,29,29,0,8.11170005798,29,29,3704122538.11
"('12',)",3.51255011559,29,13,1026.61274266,29,29,4,3743853642.29,3743853642.79,3704122538.17,46.9853,-124.5660833,0.0,internal_timestamp,80.3330001831,29,13,1495133738.17,33.7036018372,29,29,0,8.09599971771,29,29,3704122538.17
"('13',)",3.51690006256,29,13,1026.65806917,29,29,4,3743853642.29,3743853642.79,3704122538.23,46.9853,-124.5660833,0.0,internal_timestamp,80.3330001831,29,13,1495133738.23,33.7594985962,29,29,0,8.08609962463,29,29,3704122538.23
"('14',)",3.51892995834,29,13,1026.68045971,29,29,4,3743853642.29,3743853642.79,3704122538.29,46.9853,-124.5660833,0.0,internal_timestamp,80.3359985352,29,13,1495133738.29,33.7868995667,29,29,0,8.08020019531,29,29,3704122538.29
"('15',)",3.5202600956,29,13,1026.69480997,29,13,4,3743853642.29,3743853642.79,3704122538.36,46.9853,-124.5660833,0.0,internal_timestamp,80.3369979858,29,13,1495133738.36,33.8045005798,29,29,0,8.07660007477,29,29,3704122538.36
"('16',)",3.52046990395,29,13,1026.69894404,29,13,4,3743853642.29,3743853642.79,3704122538.42,46.9853,-124.5660833,0.0,internal_timestamp,80.3359985352,29,13,1495133738.42,33.809299469,29,29,0,8.07409954071,29,29,3704122538.42
"('17',)",3.5202600956,29,13,1026.69873431,29,13,4,3743853642.29,3743853642.79,3704122538.48,46.9853,-124.5660833,0.0,internal_timestamp,80.3339996338,29,13,1495133738.48,33.8087005615,29,29,0,8.07229995728,29,29,3704122538.48
"('18',)",3.52009010315,29,13,1026.69837697,29,13,4,3743853642.29,3743853642.79,3704122538.54,46.9853,-124.5660833,0.0,internal_timestamp,80.3369979858,29,13,1495133738.54,33.8079986572,29,29,0,8.07110023499,29,29,3704122538.54
"('19',)",3.52000999451,29,13,1026.69831569,29,13,4,3743853642.29,3743853642.79,3704122538.61,46.9853,-124.5660833,0.0,internal_timestamp,80.3379974365,29,13,1495133738.61,33.807800293,29,29,0,8.07050037384,29,29,3704122538.61
"('20',)",3.52006006241,29,13,1026.6987261,29,13,4,3743853642.29,3743853642.79,3704122538.67,46.9853,-124.5660833,0.0,internal_timestamp,80.3420028687,29,13,1495133738.67,33.8083000183,29,29,0,8.07050037384,29,29,3704122538.67
