obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('0',)",3.55492997169,29,13,1026.54083175,29,13,7,3754337487.91,3754337629.53,3750978163.68,46.98577,-124.56841,0.0,internal_timestamp,78.5540008545,29,29,1541989363.68,33.7117996216,29,29,1,8.55739974976,29,29,3750978163.68
"('1',)",3.55494999886,29,13,1026.54087564,29,13,7,3754337487.91,3754337629.53,3750978163.75,46.98577,-124.56841,0.0,internal_timestamp,78.5500030518,29,29,1541989363.75,33.7118988037,29,29,0,8.55749988556,29,29,3750978163.75
"('2',)",3.55488991737,29,13,1026.54012861,29,13,7,3754337487.91,3754337629.53,3750978163.81,46.98577,-124.56841,0.0,internal_timestamp,78.5510025024,29,29,1541989363.81,33.7109985352,29,29,0,8.55780029297,29,29,3750978163.81
"('3',)",3.55492997169,29,13,1026.54073859,29,13,7,3754337487.91,3754337629.53,3750978163.87,46.98577,-124.56841,0.0,internal_timestamp,78.5540008545,29,29,1541989363.87,33.7117004395,29,29,0,8.55749988556,29,29,3750978163.87
"('4',)",3.55494999886,29,13,1026.54059614,29,13,7,3754337487.91,3754337629.53,3750978163.93,46.98577,-124.56841,0.0,internal_timestamp,78.5500030518,29,29,1541989363.93,33.7116012573,29,29,0,8.55780029297,29,29,3750978163.93
"('5',)",3.55536007881,29,13,1026.54422618,29,13,7,3754337487.91,3754337629.53,3750978164.0,46.98577,-124.56841,0.0,internal_timestamp,78.5490036011,29,29,1541989364.0,33.7162017822,29,29,0,8.55760002136,29,29,3750978164.0
"('6',)",3.55550003052,29,13,1026.54503571,29,13,7,3754337487.91,3754337629.53,3750978164.06,46.98577,-124.56841,0.0,internal_timestamp,78.547996521,29,29,1541989364.06,33.717300415,29,29,0,8.55790042877,29,29,3750978164.06
"('7',)",3.55496001244,29,13,1026.54086475,29,13,7,3754337487.91,3754337629.53,3750978164.12,46.98577,-124.56841,0.0,internal_timestamp,78.5510025024,29,29,1541989364.12,33.7118988037,29,29,0,8.55760002136,29,29,3750978164.12
"('8',)",3.55503988266,29,13,1026.54149225,29,13,7,3754337487.91,3754337629.53,3750978164.19,46.98577,-124.56841,0.0,internal_timestamp,78.5510025024,29,29,1541989364.19,33.7126998901,29,29,0,8.55760002136,29,29,3750978164.19
"('9',)",3.55516004562,29,13,1026.54249742,29,13,7,3754337487.91,3754337629.53,3750978164.25,46.98577,-124.56841,0.0,internal_timestamp,78.547996521,29,29,1541989364.25,33.7140007019,29,29,0,8.55760002136,29,29,3750978164.25
"('10',)",3.55531001091,29,13,1026.54375406,29,13,7,3754337487.91,3754337629.53,3750978164.31,46.98577,-124.56841,0.0,internal_timestamp,78.5490036011,29,29,1541989364.31,33.7155990601,29,29,0,8.55760002136,29,29,3750978164.31
"('11',)",3.55543994904,29,13,1026.54467522,29,13,7,3754337487.91,3754337629.53,3750978164.37,46.98577,-124.56841,0.0,internal_timestamp,78.547996521,29,29,1541989364.37,33.7168006897,29,29,0,8.55770015717,29,29,3750978164.37
"('12',)",3.5555100441,29,13,1026.54518366,29,13,7,3754337487.91,3754337629.53,3750978164.44,46.98577,-124.56841,0.0,internal_timestamp,78.5429992676,29,29,1541989364.44,33.7174987793,29,29,0,8.55780029297,29,29,3750978164.44
"('13',)",3.55553007126,29,13,1026.54534661,29,13,7,3754337487.91,3754337629.53,3750978164.5,46.98577,-124.56841,0.0,internal_timestamp,78.5439987183,29,29,1541989364.5,33.7177009583,29,29,0,8.55780029297,29,29,3750978164.5
"('14',)",3.55554008484,29,13,1026.5453403,29,13,7,3754337487.91,3754337629.54,3750978164.56,46.98577,-124.56841,0.0,internal_timestamp,78.5459976196,29,29,1541989364.56,33.7177009583,29,29,0,8.55790042877,29,29,3750978164.56
"('15',)",3.55554008484,29,13,1026.54522895,29,13,7,3754337487.91,3754337629.54,3750978164.62,46.98577,-124.56841,0.0,internal_timestamp,78.5419998169,29,29,1541989364.62,33.7176017761,29,29,0,8.5579996109,29,29,3750978164.62
"('16',)",3.55554008484,29,13,1026.54521062,29,13,7,3754337487.91,3754337629.54,3750978164.69,46.98577,-124.56841,0.0,internal_timestamp,78.5380020142,29,13,1541989364.69,33.7176017761,29,29,0,8.5579996109,29,29,3750978164.69
"('17',)",3.55554008484,29,13,1026.54521521,29,13,7,3754337487.91,3754337629.54,3750978164.75,46.98577,-124.56841,0.0,internal_timestamp,78.5390014648,29,13,1541989364.75,33.7176017761,29,29,0,8.5579996109,29,29,3750978164.75
"('18',)",3.55554008484,29,13,1026.54520604,29,13,7,3754337487.91,3754337629.54,3750978164.81,46.98577,-124.56841,0.0,internal_timestamp,78.5370025635,29,13,1541989364.81,33.7176017761,29,29,0,8.5579996109,29,29,3750978164.81
"('19',)",3.55554008484,29,13,1026.54520146,29,13,7,3754337487.91,3754337629.54,3750978164.88,46.98577,-124.56841,0.0,internal_timestamp,78.5360031128,29,13,1541989364.88,33.7176017761,29,29,0,8.5579996109,29,29,3750978164.88
"('20',)",3.55554008484,29,13,1026.54510072,29,13,7,3754337487.91,3754337629.54,3750978164.94,46.98577,-124.56841,0.0,internal_timestamp,78.5350036621,29,13,1541989364.94,33.7174987793,29,29,0,8.5580997467,29,29,3750978164.94
"('21',)",3.55554008484,29,13,1026.5451053,29,13,7,3754337487.91,3754337629.54,3750978165.0,46.98577,-124.56841,0.0,internal_timestamp,78.5360031128,29,13,1541989365.0,33.7174987793,29,29,0,8.5580997467,29,29,3750978165.0
"('22',)",3.55554008484,29,13,1026.54510072,29,13,7,3754337487.91,3754337629.54,3750978165.06,46.98577,-124.56841,0.0,internal_timestamp,78.5350036621,29,13,1541989365.06,33.7174987793,29,29,0,8.5580997467,29,29,3750978165.06
"('23',)",3.55553007126,29,13,1026.54502761,29,13,7,3754337487.91,3754337629.54,3750978165.12,46.98577,-124.56841,0.0,internal_timestamp,78.5360031128,29,13,1541989365.12,33.7173995972,29,29,0,8.5580997467,29,29,3750978165.12
"('24',)",3.55553007126,29,13,1026.54502303,29,13,7,3754337487.91,3754337629.54,3750978165.19,46.98577,-124.56841,0.0,internal_timestamp,78.5350036621,29,13,1541989365.19,33.7173995972,29,29,0,8.5580997467,29,29,3750978165.19
"('25',)",3.55554008484,29,13,1026.54507146,29,13,7,3754337487.91,3754337629.54,3750978166.72,46.98577,-124.56841,0.0,internal_timestamp,78.5319976807,29,13,1541989366.72,33.7174987793,29,29,0,8.55819988251,29,29,3750978166.72
"('26',)",3.55553007126,29,13,1026.54498461,29,13,7,3754337487.91,3754337629.54,3750978166.75,46.98577,-124.56841,0.0,internal_timestamp,78.5299987793,29,13,1541989366.75,33.7173995972,29,29,0,8.55819988251,29,29,3750978166.75
"('27',)",3.55553007126,29,13,1026.54489602,29,13,7,3754337487.91,3754337629.54,3750978166.77,46.98577,-124.56841,0.0,internal_timestamp,78.53099823,29,13,1541989366.77,33.717300415,29,29,0,8.55830001831,29,29,3750978166.77
"('28',)",3.55554008484,29,13,1026.54497371,29,13,7,3754337487.91,3754337629.54,3750978166.79,46.98577,-124.56841,0.0,internal_timestamp,78.53099823,29,13,1541989366.79,33.7173995972,29,29,0,8.55830001831,29,29,3750978166.79
"('29',)",3.55555009842,29,13,1026.54514298,29,13,7,3754337487.91,3754337629.54,3750978166.8,46.98577,-124.56841,0.0,internal_timestamp,78.5299987793,29,13,1541989366.8,33.7176017761,29,29,0,8.55819988251,29,29,3750978166.8
"('30',)",3.555560112,29,13,1026.54524073,29,13,7,3754337487.91,3754337629.54,3750978166.81,46.98577,-124.56841,0.0,internal_timestamp,78.53099823,29,13,1541989366.81,33.7177009583,29,29,0,8.5580997467,29,29,3750978166.81
"('31',)",3.55556988716,29,13,1026.54541159,29,13,7,3754337487.91,3754337629.54,3750978166.81,46.98577,-124.56841,0.0,internal_timestamp,78.53099823,29,13,1541989366.81,33.7178993225,29,29,0,8.5579996109,29,29,3750978166.81
"('32',)",3.555560112,29,13,1026.54549544,29,13,7,3754337487.91,3754337629.54,3750978166.82,46.98577,-124.56841,0.0,internal_timestamp,78.5289993286,29,13,1541989366.82,33.7179985046,29,29,0,8.55790042877,29,29,3750978166.82
"('33',)",3.55555009842,29,13,1026.54552008,29,13,7,3754337487.91,3754337629.54,3750978166.82,46.98577,-124.56841,0.0,internal_timestamp,78.53099823,29,13,1541989366.82,33.7179985046,29,29,0,8.55780029297,29,29,3750978166.82
