obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3771785281.08,6,32.8549003601,3774726847.85,3774726848.26,3771785281.08,0.0,internal_timestamp,577.489990234,82168,1562796481,4.80649995804,3.28549003601,34.2042178779,1029.7426257,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('1',)",3771785282.07,6,32.8535995483,3774726847.85,3774726848.26,3771785282.07,0.0,internal_timestamp,577.530029297,66381,1562796482,4.80560016632,3.28535995483,34.2036150987,1029.74244755,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('2',)",3771785283.05,6,32.8520011902,3774726847.85,3774726848.26,3771785283.05,0.0,internal_timestamp,577.5,51378,1562796483,4.80189990997,3.28520011902,34.2055720679,1029.74431981,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('3',)",3771785284.07,6,32.8577003479,3774726847.85,3774726848.26,3771785284.07,0.0,internal_timestamp,577.5,66690,1562796484,4.81050014496,3.28577003479,34.2033533478,1029.74148545,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('4',)",3771785285.07,6,32.8600997925,3774726847.85,3774726848.26,3771785285.07,0.0,internal_timestamp,577.489990234,73074,1562796485,4.81500005722,3.28600997925,34.201524207,1029.73942881,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('5',)",3771785286.07,6,32.8582992554,3774726847.85,3774726848.26,3771785286.07,0.0,internal_timestamp,577.539978027,66894,1562796486,4.81209993362,3.28582992554,34.2023872237,1029.74070529,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('6',)",3771785287.07,6,32.8588981628,3774726847.85,3774726848.26,3771785287.07,0.0,internal_timestamp,577.469970703,72497,1562796487,4.81230020523,3.28588981628,34.2029099125,1029.74077055,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('7',)",3771785288.07,6,32.8588981628,3774726847.85,3774726848.26,3771785288.07,0.0,internal_timestamp,577.510009766,67281,1562796488,4.81290006638,3.28588981628,34.2022753808,1029.74037836,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('8',)",3771785289.07,6,32.8572998047,3774726847.85,3774726848.26,3771785289.07,0.0,internal_timestamp,577.530029297,72606,1562796489,4.81029987335,3.28572998047,34.2030801802,1029.74143323,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('9',)",3771785290.07,6,32.8614006042,3774726847.85,3774726848.26,3771785290.07,0.0,internal_timestamp,577.460021973,67992,1562796490,4.81430006027,3.28614006042,34.203759939,1029.74114341,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('10',)",3771785291.08,6,32.8596992493,3774726847.85,3774726848.26,3771785291.08,0.0,internal_timestamp,577.530029297,83360,1562796491,4.81449985504,3.28596992493,34.2015531402,1029.73969883,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
