obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,temp,temp_qc_executed,temp_qc_results,time
"('0',)",33.3017997742,1,0,1029.43774238,29,29,2,3.33017997742,29,29,3724598969.79,3724598969.91,3659213094.04,44.36829,-124.9528,0.0,34.112001216,29,29,internal_timestamp,544.08001709,29,29,43232,1450224294,5.4172000885,29,29,3659213094.04
"('1',)",33.3087997437,1,0,1029.43092894,29,29,2,3.33087997437,29,29,3724598969.79,3724598969.91,3659213105.07,44.36829,-124.9528,0.0,34.1120963064,29,29,internal_timestamp,542.820007324,29,29,65146,1450224305,5.42560005188,29,29,3659213105.07
"('2',)",33.3246002197,1,0,1029.42035824,29,29,2,3.33246002197,29,29,3724598969.79,3724598969.91,3659213116.04,44.36829,-124.9528,0.0,34.1091168217,29,29,internal_timestamp,541.640014648,29,29,44523,1450224316,5.4468998909,29,29,3659213116.04
"('3',)",33.3469009399,1,0,1029.40956329,29,29,2,3.33469009399,29,29,3724598969.79,3724598969.91,3659213127.04,44.36829,-124.9528,0.0,34.1058354213,29,29,internal_timestamp,540.679992676,29,29,43447,1450224327,5.47569990158,29,29,3659213127.04
"('4',)",33.3479003906,1,0,1029.40506961,29,29,2,3.33479003906,29,29,3724598969.79,3724598969.91,3659213138.05,44.36829,-124.9528,0.0,34.1058155924,29,29,internal_timestamp,539.75,29,29,50303,1450224338,5.47730016708,29,29,3659213138.05
"('5',)",33.3585014343,1,0,1029.39697703,29,29,2,3.33585014343,29,29,3724598969.79,3724598969.91,3659213149.05,44.36829,-124.9528,0.0,34.1035858947,29,29,internal_timestamp,538.789978027,29,29,45141,1450224349,5.49189996719,29,29,3659213149.05
"('6',)",33.376701355,1,0,1029.38739721,29,29,2,3.3376701355,29,29,3724598969.79,3724598969.91,3659213160.05,44.36829,-124.9528,0.0,34.1017822048,29,29,internal_timestamp,537.66998291,29,29,52814,1450224360,5.51469993591,29,29,3659213160.05
"('7',)",33.3834991455,1,0,1029.37944732,29,29,2,3.33834991455,29,29,3724598969.79,3724598969.92,3659213171.05,44.36829,-124.9528,0.0,34.1004104963,29,29,internal_timestamp,536.450012207,29,29,47679,1450224371,5.52430009842,29,29,3659213171.05
"('8',)",33.3968009949,1,0,1029.36831899,29,29,2,3.33968009949,29,29,3724598969.79,3724598969.92,3659213182.05,44.36829,-124.9528,0.0,34.0967394174,29,29,internal_timestamp,535.210021973,29,29,54333,1450224382,5.54349994659,29,29,3659213182.05
"('9',)",33.4086990356,1,0,1029.35893706,29,29,2,3.34086990356,29,29,3724598969.79,3724598969.92,3659213193.05,44.36829,-124.9528,0.0,34.0951474399,29,29,internal_timestamp,533.890014648,29,29,50060,1450224393,5.55910015106,29,29,3659213193.05
