obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,temp,temp_qc_executed,temp_qc_results,time
"('0',)",31.2602005005,1,0,1038.09250166,29,21,2,3.12602005005,29,5,3746540943.73,3746540943.83,3652646406.9,44.52757,-125.38075,0.0,34.6232915,29,21,internal_timestamp,2255.75,29,21,904105,1443657606,1.79120004177,29,29,3652646406.9
"('1',)",31.261100769,1,0,1038.10639042,29,21,2,3.1261100769,29,5,3746540943.73,3746540943.83,3652646417.9,44.52757,-125.38075,0.0,34.6233378973,29,21,internal_timestamp,2258.82006836,29,21,897047,1443657617,1.7907999754,29,29,3652646417.9
"('2',)",31.2616996765,1,0,1038.12018082,29,21,2,3.12616996765,29,5,3746540943.73,3746540943.83,3652646428.9,44.52757,-125.38075,0.0,34.623226916,29,21,internal_timestamp,2261.88989258,29,21,901691,1443657628,1.79019999504,29,29,3652646428.9
"('3',)",31.2628002167,1,0,1038.13426205,29,21,2,3.12628002167,29,5,3746540943.73,3746540943.83,3652646439.9,44.52757,-125.38075,0.0,34.6235208671,29,21,internal_timestamp,2264.95996094,29,21,903755,1443657639,1.78980004787,29,29,3652646439.9
"('4',)",31.263299942,1,0,1038.14879229,29,21,2,3.1263299942,29,5,3746540943.73,3746540943.83,3652646450.91,44.52757,-125.38075,0.0,34.624255825,29,21,internal_timestamp,2268.02001953,29,21,906919,1443657650,1.78830003738,29,29,3652646450.91
"('5',)",31.2628993988,1,0,1038.16284101,29,21,2,3.12628993988,29,5,3746540943.73,3746540943.83,3652646461.91,44.52757,-125.38075,0.0,34.6243086847,29,21,internal_timestamp,2271.08007812,29,21,909070,1443657661,1.78639996052,29,29,3652646461.91
"('6',)",31.2637004852,1,0,1038.17649129,29,21,2,3.12637004852,29,5,3746540943.73,3746540943.83,3652646472.9,44.52757,-125.38075,0.0,34.6241322275,29,21,internal_timestamp,2274.13989258,29,21,901871,1443657672,1.78610002995,29,29,3652646472.9
"('7',)",31.2646007538,1,0,1038.19057152,29,21,2,3.12646007538,29,5,3746540943.73,3746540943.83,3652646483.91,44.52757,-125.38075,0.0,34.6243944514,29,21,internal_timestamp,2277.20996094,29,21,907701,1443657683,1.78550004959,29,29,3652646483.91
"('8',)",31.2656002045,1,0,1038.20420729,29,21,2,3.12656002045,29,5,3746540943.73,3746540943.83,3652646494.91,44.52757,-125.38075,0.0,34.6244876118,29,21,internal_timestamp,2280.2199707,29,21,911134,1443657694,1.78519999981,29,29,3652646494.91
"('9',)",31.2661991119,1,0,1038.21829675,29,21,2,3.12661991119,29,5,3746540943.73,3746540943.83,3652646505.9,44.52757,-125.38075,0.0,34.624461508,29,21,internal_timestamp,2283.34008789,29,21,904871,1443657705,1.78450000286,29,29,3652646505.9
