obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3661761659.72,2,31.4750995636,3746541045.65,3746541045.66,3661761659.72,0.0,internal_timestamp,2929.80004883,723766,1452772859,1.72019994259,3.14750995636,34.6446128013,1041.1265314,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('1',)",3661761670.72,2,31.4740009308,3746541045.65,3746541045.66,3661761670.72,0.0,internal_timestamp,2927.43994141,715383,1452772870,1.72000002861,3.14740009308,34.6445631135,1041.11606506,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('2',)",3661761681.72,2,31.4727993011,3746541045.65,3746541045.66,3661761681.72,0.0,internal_timestamp,2924.58007812,722352,1452772881,1.71979999542,3.14727993011,34.6446174338,1041.10346466,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('3',)",3661761692.75,2,31.4715003967,3746541045.65,3746541045.66,3661761692.75,0.0,internal_timestamp,2921.70996094,749581,1452772892,1.71959996223,3.14715003967,34.6445573043,1041.09072878,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('4',)",3661761703.72,2,31.4699001312,3746541045.65,3746541045.66,3661761703.72,0.0,internal_timestamp,2918.84008789,720228,1452772903,1.71920001507,3.14699001312,34.6443400452,1041.07790074,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('5',)",3661761714.73,2,31.4687004089,3746541045.65,3746541045.66,3661761714.73,0.0,internal_timestamp,2916.25,726495,1452772914,1.71889996529,3.14687004089,34.6443796932,1041.06649723,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('6',)",3661761725.73,2,31.4689006805,3746541045.65,3746541045.66,3661761725.73,0.0,internal_timestamp,2916.2199707,725466,1452772925,1.71879994869,3.14689006805,34.6447459798,1041.06666478,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('7',)",3661761736.73,2,31.4685993195,3746541045.65,3746541045.66,3661761736.73,0.0,internal_timestamp,2915.40991211,725524,1452772936,1.71879994869,3.14685993195,34.6447492413,1041.06307692,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('8',)",3661761747.72,2,31.4673995972,3746541045.65,3746541045.66,3661761747.72,0.0,internal_timestamp,2913.01000977,722580,1452772947,1.71889996529,3.14673995972,34.6442756172,1041.05205516,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('9',)",3661761758.72,2,31.4659996033,3746541045.65,3746541045.66,3661761758.72,0.0,internal_timestamp,2910.11010742,720952,1452772958,1.71819996834,3.14659996033,34.6446384785,1041.03958894,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('10',)",3661761769.73,2,31.4645996094,3746541045.65,3746541045.66,3661761769.73,0.0,internal_timestamp,2907.18994141,731586,1452772969,1.71800005436,3.14645996094,34.6444785815,1041.02654925,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('11',)",3661761780.73,2,31.4631996155,3746541045.65,3746541045.66,3661761780.73,0.0,internal_timestamp,2904.26000977,731122,1452772980,1.71800005436,3.14631996155,34.6441106304,1041.01327317,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
