obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('0',)",3.554929972,29,13,1026.540832,29,13,7,3754337488,3754337630,3750978164,46.98577,-124.56841,0,internal_timestamp,78.55400085,29,29,1541989364,33.71179962,29,29,1,8.55739975,29,29,3750978164
"('1',)",3.554949999,29,13,1026.540876,29,13,7,3754337488,3754337630,3750978164,46.98577,-124.56841,0,internal_timestamp,78.55000305,29,29,1541989364,33.7118988,29,29,0,8.557499886,29,29,3750978164
"('2',)",3.554889917,29,13,1026.540129,29,13,7,3754337488,3754337630,3750978164,46.98577,-124.56841,0,internal_timestamp,78.5510025,29,29,1541989364,33.71099854,29,29,0,8.557800293,29,29,3750978164
"('3',)",3.554929972,29,13,1026.540739,29,13,7,3754337488,3754337630,3750978164,46.98577,-124.56841,0,internal_timestamp,78.55400085,29,29,1541989364,33.71170044,29,29,0,8.557499886,29,29,3750978164
"('4',)",3.554949999,29,13,1026.540596,29,13,7,3754337488,3754337630,3750978164,46.98577,-124.56841,0,internal_timestamp,78.55000305,29,29,1541989364,33.71160126,29,29,0,8.557800293,29,29,3750978164
"('5',)",3.555360079,29,13,1026.544226,29,13,7,3754337488,3754337630,3750978164,46.98577,-124.56841,0,internal_timestamp,78.5490036,29,29,1541989364,33.71620178,29,29,0,8.557600021,29,29,3750978164
"('6',)",3.555500031,29,13,1026.545036,29,13,7,3754337488,3754337630,3750978164,46.98577,-124.56841,0,internal_timestamp,78.54799652,29,29,1541989364,33.71730042,29,29,0,8.557900429,29,29,3750978164
"('7',)",3.554960012,29,13,1026.540865,29,13,7,3754337488,3754337630,3750978164,46.98577,-124.56841,0,internal_timestamp,78.5510025,29,29,1541989364,33.7118988,29,29,0,8.557600021,29,29,3750978164
"('8',)",3.555039883,29,13,1026.541492,29,13,7,3754337488,3754337630,3750978164,46.98577,-124.56841,0,internal_timestamp,78.5510025,29,29,1541989364,33.71269989,29,29,0,8.557600021,29,29,3750978164
"('9',)",3.555160046,29,13,1026.542497,29,13,7,3754337488,3754337630,3750978164,46.98577,-124.56841,0,internal_timestamp,78.54799652,29,29,1541989364,33.7140007,29,29,0,8.557600021,29,29,3750978164
